Age,Gender,Occupation,Employment Type,Education,Annual Income,Monthly Income,Monthly Expenses,Credit Score,Loan Amount,Existing Loans,Debt Ratio,Years of Employment,Marital Status,Residence Type,Dependents,Bank Balance,Savings,Investment,Loan History,Credit History,Approval Status
59,Male,Software Engineer,Full-time,Bachelor,105736,8811.33,2639.85,635,21079,0,0.2996,19.1,Divorced,Rented,0,11685.0,8359,6549,Good,Good,Approved
72,Male,Retired,Unemployed,Bachelor,24985,2082.08,1104.79,592,10680,0,0.5306,0.0,Single,Rented,2,2309.0,840,531,Bad,None,Rejected
49,Male,Nurse,Full-time,Master,89544,7462.0,3809.73,707,49236,0,0.5106,3.7,Divorced,Rented,0,36517.0,20616,7772,Bad,Good,Approved
35,Male,Manager,Self-employed,Bachelor,96383,8031.92,4090.85,660,11429,0,0.5093,9.9,Divorced,Rented,0,29802.0,22362,7318,Good,Good,Approved
63,Female,Manager,Full-time,Master,103927,8660.58,3966.39,393,23371,3,0.5288,28.6,Married,Rented,2,,879,6536,None,Bad,Rejected
28,Male,Accountant,Self-employed,High School,25736,2144.67,938.24,701,4071,0,0.4375,2.0,Divorced,Owned,0,5695.0,2906,1254,Good,None,Approved
41,Male,Software Engineer,Full-time,Master,100715,8392.92,2135.3,689,27084,5,0.4337,12.1,Single,Owned,0,7096.0,3014,10467,Good,None,Approved
59,Female,Teacher,Self-employed,Bachelor,56627,4718.92,2238.73,696,33901,0,0.4744,7.6,Married,Rented,0,5966.0,2673,13850,Good,Bad,Approved
39,Female,Software Engineer,Full-time,Bachelor,91739,7644.92,2121.16,693,56621,0,0.2775,5.6,Married,Rented,2,20745.0,13135,17748,Good,Bad,Approved
43,Male,Teacher,Full-time,High School,35232,2936.0,962.79,597,21520,1,0.4461,6.3,Married,Mortgaged,3,3399.0,1870,348,None,Bad,Rejected
31,Female,Sales Executive,Contract,Bachelor,73031,6085.92,2528.38,703,10633,2,0.4812,8.3,Divorced,Owned,2,4385.0,2333,11014,None,None,Approved
31,Female,Student,Part-time,High School,9790,815.83,574.3,386,3185,1,0.9864,8.8,Single,Rented,1,2043.0,656,344,Bad,Bad,Rejected
44,Male,Sales Executive,Full-time,Master,99156,8263.0,4108.33,630,39914,1,0.5172,14.0,Single,Owned,1,3290.0,2204,6014,None,Bad,Rejected
73,Female,Retired,Unemployed,Master,26442,2203.5,1131.81,601,11441,0,0.5136,0.0,Married,Mortgaged,0,7126.0,5317,1966,Good,Good,Approved
56,Female,Teacher,Full-time,High School,25625,2135.42,970.68,562,10090,0,0.4546,32.2,Divorced,Mortgaged,0,4962.0,1898,3493,Bad,Bad,Rejected
